GT170 GHz magnetic field and derivatives for I1,..,I5=61.56 66.45 113.43 108.09  [A]
------------------------------------------------------------- 
Cathode is located in z_cat=0.136 [m] 
Cavity  is located in z_cav=0.49967 [m] 
 z [m]   Bz [T]   dBz/dz [T/m]    d2Bz/dz2 [T/m2]   Bz(r=25mm)   Br(r=25mm)   dBz/dz(r=25mm)  dBz/dr(r=25mm)   
 0.11400    0.22607     -0.17518       24.17160      0.22244       0.00339      -0.36700      -0.27862   
 0.11500    0.22590     -0.15039       25.41203      0.22208       0.00310      -0.34599      -0.29411   
 0.11600    0.22577     -0.12435       26.67633      0.22175       0.00280      -0.32373      -0.30990   
 0.11700    0.22566     -0.09703       27.96453      0.22143       0.00248      -0.30020      -0.32601   
 0.11800    0.22557     -0.06841       29.27661      0.22115       0.00215      -0.27537      -0.34242   
 0.11900    0.22552     -0.03847       30.61257      0.22088       0.00180      -0.24921      -0.35913   
 0.12000    0.22550     -0.00718       31.97240      0.22065       0.00143      -0.22170      -0.37615   
 0.12100    0.22551      0.02548       33.35605      0.22044       0.00105      -0.19281      -0.39348   
 0.12200    0.22555      0.05954       34.76351      0.22026       0.00064      -0.16252      -0.41112   
 0.12300    0.22563      0.09502       36.19472      0.22012       0.00022      -0.13081      -0.42906   
 0.12400    0.22574      0.13194       37.64964      0.22000      -0.00022      -0.09764      -0.44731   
 0.12500    0.22589      0.17033       39.12819      0.21992      -0.00067      -0.06300      -0.46586   
 0.12600    0.22608      0.21020       40.63031      0.21988      -0.00115      -0.02685      -0.48471   
 0.12700    0.22631      0.25160       42.15593      0.21987      -0.00164       0.01082      -0.50387   
 0.12800    0.22658      0.29452       43.70494      0.21990      -0.00215       0.05005      -0.52332   
 0.12900    0.22690      0.33901       45.27725      0.21997      -0.00269       0.09085      -0.54308   
 0.13000    0.22726      0.38509       46.87275      0.22008      -0.00324       0.13325      -0.56314   
 0.13100    0.22767      0.43277       48.49133      0.22024      -0.00381       0.17728      -0.58349   
 0.13200    0.22813      0.48208       50.13286      0.22044      -0.00441       0.22295      -0.60414   
 0.13300    0.22864      0.53304       51.79720      0.22068      -0.00502       0.27030      -0.62508   
